"","barcode","auc"
"1","barcode1",0.654174574048009
"2","barcode2",0.651876021515885
"3","barcode3",0.609569780964111
"4","barcode4",0.603155294629392
"5","barcode5",0.631962426025161
"6","barcode6",0.604775400745913
"7","barcode7",0.578101997094328
"8","barcode8",0.602715260618935
"9","barcode9",0.61880766213604
"10","barcode10",0.616831337921129
"11","barcode11",0.586832876205189
"12","barcode12",0.532378085010933
"13","barcode13",0.515992123301661
"14","barcode14",0.398247748867516
"15","barcode15",0.484620216068682
"16","barcode16",0.50821945458684
"17","barcode17",0.452795116232452
"18","barcode18",0.490288689385699
"19","barcode19",0.475918146322794
"20","barcode20",0.45074343282547
"21","barcode21",0.564829392645099
"22","barcode22",0.546596285304279
"23","barcode23",0.564371940402862
"24","barcode24",0.603603948782412
"25","barcode25",0.610890259511212
"26","barcode26",0.641542367887769
"27","barcode27",0.649321224967637
"28","barcode28",0.68061567665572
"29","barcode29",0.626285135739482
"30","barcode30",0.633172623456791
"31","barcode31",0.61068530612245
"32","barcode32",0.589994284769463
"33","barcode33",0.604307580939784
"34","barcode34",0.661864750729794
"35","barcode35",0.66124386511629
"36","barcode36",0.643225784995352
"37","barcode37",0.693051641004423
"38","barcode38",0.609870848171796
"39","barcode39",0.636569211109566
"40","barcode40",0.576665870236178
"41","barcode41",0.605441744511814
"42","barcode42",0.577292946010932
"43","barcode43",0.561954267298664
"44","barcode44",0.562692742220379
"45","barcode45",0.581585861214008
"46","barcode46",0.504867853334414
"47","barcode47",0.403146314312212
"48","barcode48",0.416534580248217
"49","barcode49",0.484235197172235
"50","barcode50",0.492198828439556
"51","barcode51",0.480832323067567
"52","barcode52",0.482574547494375
"53","barcode53",0.469938308202361
"54","barcode54",0.525738430746789
"55","barcode55",0.544731891272098
"56","barcode56",0.566649178057183
"57","barcode57",0.554173329180638
"58","barcode58",0.602585843571191
"59","barcode59",0.62494069696397
"60","barcode60",0.603920037010973
"61","barcode61",0.64145896447468
"62","barcode62",0.62932708144369
"63","barcode63",0.676310722007194
"64","barcode64",0.617399486961452
"65","barcode65",0.584077990992695
"66","barcode66",0.587238450176367
"67","barcode67",0.648181553765823
"68","barcode68",0.668973074614904
"69","barcode69",0.623923324677892
"70","barcode70",0.66206969341057
"71","barcode71",0.650069069827804
"72","barcode72",0.594475594977926
